TITLE,B19_ZnO_16
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/05
TIME,10:17:22
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.28906
MAXY,     0.65528
MINY,     0.10504
XYDATA
318.0000,0.516174
317.0000,0.521555
316.0000,0.527191
315.0000,0.531296
314.0000,0.537856
313.0000,0.545469
312.0000,0.548421
311.0000,0.55148
310.0000,0.566073
309.0000,0.565666
308.0000,0.574611
307.0000,0.587759
306.0000,0.579948
305.0000,0.603726
304.0000,0.602383
303.0000,0.612522
302.0000,0.634626
301.0000,0.635318
300.0000,0.655275

##### Extended Information
[Comments]
Sample name,B19_ZnO_16
Comment,---
User,KKr
Division,FCBiR
Company,ML System Sp. z o.o.

[Detailed Information]
Creation date,05-Oct-22 9:17 AM

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,%R
Start,1200 nm
End,300 nm
Data interval,1 nm
Data points,901     

[Measurement Information]
Instrument name,V-670
Model name,V-670
Serial No.,B098161154

Accessory,ARSN-733
Accessory S/N,A004861124
  Incident angle,0 degrees
  Detection angle,90 degrees

Measurement date,05-Oct-22 9:16 AM

Photometric mode,%R
Measurement range,1200 - 300 nm
Data interval,1 nm
UV/Vis bandwidth,5.0 nm
NIR bandwidth,20.0 nm
Response,Fast
Scan speed,200 nm/min
Change source at,340 nm
Change grating at,850 nm
Light source,D2/WI
Filter exchange,Step
Correction,Baseline

