TITLE,ZnO_B19_szklo_4
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/11
TIME,12:10:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.33382
MAXY,     0.84990
MINY,     0.22884
XYDATA
739.0000,0.282675
738.0000,0.285755
737.0000,0.287477
736.0000,0.284299
735.0000,0.288889
734.0000,0.286521
733.0000,0.287014
732.0000,0.28661
731.0000,0.287448
730.0000,0.285732
729.0000,0.289681
728.0000,0.290399
727.0000,0.289821
726.0000,0.290997
725.0000,0.292465
724.0000,0.291666
723.0000,0.290585
722.0000,0.293079
721.0000,0.291759
720.0000,0.29373
719.0000,0.293119
718.0000,0.294111
717.0000,0.293232
716.0000,0.295383
715.0000,0.295916
714.0000,0.297595
713.0000,0.297205
712.0000,0.298685
711.0000,0.297644
710.0000,0.296728
709.0000,0.296653
708.0000,0.299161
707.0000,0.29848
706.0000,0.29837
705.0000,0.299649
704.0000,0.297177
703.0000,0.300607
702.0000,0.301443
701.0000,0.301345
700.0000,0.303988
699.0000,0.302186
698.0000,0.303783
697.0000,0.304632
696.0000,0.304725
695.0000,0.306401
694.0000,0.308495
693.0000,0.30924
692.0000,0.311251
691.0000,0.314607
690.0000,0.314062
689.0000,0.315047
688.0000,0.316478
687.0000,0.318329
686.0000,0.318472
685.0000,0.317555
684.0000,0.317704
683.0000,0.319795
682.0000,0.319263
681.0000,0.319453
680.0000,0.318777
679.0000,0.317847
678.0000,0.317744
677.0000,0.316271
676.0000,0.317314
675.0000,0.319393
674.0000,0.317946
673.0000,0.318184
672.0000,0.319676
671.0000,0.321104
670.0000,0.32228
669.0000,0.321877
668.0000,0.322618
667.0000,0.324228
666.0000,0.321958
665.0000,0.324276
664.0000,0.324618
663.0000,0.327978
662.0000,0.326803
661.0000,0.324726
660.0000,0.327865
659.0000,0.329064
658.0000,0.328041
657.0000,0.32786
656.0000,0.330061
655.0000,0.330963
654.0000,0.330312
653.0000,0.333356
652.0000,0.332902
651.0000,0.332887
650.0000,0.332307
649.0000,0.335562
648.0000,0.3347
647.0000,0.334807
