TITLE,ZnO_B20_16
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/10
TIME,13:25:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.26044
MAXY,     0.50308
MINY,     0.05841
XYDATA
592.0000,0.166803
591.0000,0.167606
590.0000,0.168248
589.0000,0.167682
588.0000,0.167768
587.0000,0.168718
586.0000,0.169518
585.0000,0.170703
584.0000,0.1698
583.0000,0.169846
582.0000,0.17024
581.0000,0.17177
580.0000,0.171213
579.0000,0.170922
578.0000,0.170967
577.0000,0.172642
576.0000,0.172994
575.0000,0.173929
574.0000,0.173468
573.0000,0.173876
572.0000,0.174385
571.0000,0.174366
570.0000,0.176075
569.0000,0.176162
568.0000,0.175939
567.0000,0.177468
566.0000,0.176896
565.0000,0.17661
564.0000,0.178361
563.0000,0.178269
562.0000,0.177818
561.0000,0.178799
560.0000,0.178514
559.0000,0.180115
558.0000,0.178144
557.0000,0.179825
556.0000,0.181068
555.0000,0.180098
554.0000,0.181307
553.0000,0.182472
552.0000,0.183004
551.0000,0.182853
550.0000,0.182103
549.0000,0.182811
548.0000,0.183175
547.0000,0.184604
546.0000,0.185497
545.0000,0.185929
544.0000,0.185831
543.0000,0.186319
542.0000,0.185747
541.0000,0.187563
540.0000,0.186947
539.0000,0.188439
538.0000,0.189854
537.0000,0.188695
536.0000,0.189417
535.0000,0.189237
534.0000,0.189243
533.0000,0.190466
532.0000,0.190717
531.0000,0.191776
530.0000,0.192311
529.0000,0.192897
528.0000,0.193432
527.0000,0.193766
526.0000,0.19263
525.0000,0.194502
524.0000,0.195445
523.0000,0.195365
522.0000,0.196037
521.0000,0.19506
520.0000,0.19538
519.0000,0.19623
518.0000,0.197194
517.0000,0.197755
516.0000,0.197598
515.0000,0.198626
514.0000,0.197246
513.0000,0.198885
512.0000,0.19997
511.0000,0.198951
510.0000,0.200546
509.0000,0.200117
508.0000,0.202465
507.0000,0.201424
506.0000,0.201969
505.0000,0.203085
504.0000,0.204277
503.0000,0.203387
502.0000,0.204251
501.0000,0.204449
500.0000,0.205897
499.0000,0.205519
498.0000,0.206176
497.0000,0.205696
496.0000,0.207541
495.0000,0.208533
494.0000,0.208603
493.0000,0.210381
492.0000,0.209257
491.0000,0.211594
490.0000,0.209581
489.0000,0.211766
488.0000,0.211602
487.0000,0.211314
486.0000,0.212068
485.0000,0.213788
484.0000,0.214441
483.0000,0.21439
482.0000,0.215281
481.0000,0.215246
480.0000,0.216076
479.0000,0.216248
478.0000,0.217301
477.0000,0.217963
476.0000,0.218287
475.0000,0.220498
474.0000,0.218451
473.0000,0.219717
472.0000,0.220971
471.0000,0.220715
470.0000,0.221971
469.0000,0.220662
468.0000,0.223333
467.0000,0.223088
466.0000,0.223966
465.0000,0.223676
464.0000,0.225126
463.0000,0.225048
462.0000,0.227904
461.0000,0.227099
460.0000,0.229494
459.0000,0.230036
458.0000,0.228924
457.0000,0.231687
456.0000,0.23342
455.0000,0.233036
454.0000,0.233646
453.0000,0.2357
452.0000,0.235322
451.0000,0.23669
450.0000,0.238103
449.0000,0.239794
448.0000,0.238228
447.0000,0.241262
446.0000,0.237629
445.0000,0.238193
444.0000,0.24176
443.0000,0.241721
442.0000,0.242721
441.0000,0.243811
440.0000,0.242197
439.0000,0.244884
438.0000,0.244206
437.0000,0.24702
436.0000,0.246771
435.0000,0.244655
434.0000,0.246126
433.0000,0.247176
432.0000,0.248521
431.0000,0.249865
430.0000,0.248764
429.0000,0.248946
428.0000,0.248929
427.0000,0.250403
426.0000,0.251187
425.0000,0.253797
424.0000,0.25334
423.0000,0.254776
422.0000,0.259177
421.0000,0.259566
420.0000,0.26282
419.0000,0.258359
418.0000,0.260597
417.0000,0.26181
416.0000,0.26187
415.0000,0.264306
